date,month,time,desc,type,year,event,dejeuner,entretien,deplacement,voyage
2022-09-05,09,11h00,"Entretien téléphonique avec M. Volodymyr ZELENSKY, Président de la République d'Ukraine.",Entretien,2022,True,False,True,False,False
2022-09-05,09,15h00,"Entretien en visioconférence avec M. Olaf SCHOLZ, Chancelier de la République fédérale d'Allemagne.",Entretien,2022,True,False,True,False,False
2022-09-05,09,17h00,"Réunion avec Mme Carole DELGA, présidente de Régions de France, M. David LISNARD, président de l’association des maires de France et M. François SAUVADET, président des départements de France.",Réunion,2022,True,False,False,False,False
2022-09-06,09,11h00,"Entretien avec M. Gérald DARMANIN, ministre de l’Intérieur et des Outre-mer.",Entretien,2022,True,False,True,False,False
2022-09-06,09,12h00,"Entretien téléphonique avec M. William RUTO,  Président élu du Kenya.",Entretien,2022,True,False,True,False,False
2022-09-06,09,16h00,"Entretien avec M. Marc FESNEAU, ministre de l'Agriculture et de la souveraineté alimentaire.",Entretien,2022,True,False,True,False,False
2022-09-06,09,19h00,"Entretien avec M. Bernard ROMAN, ancien président de l’Autorité de régulation des transports.",Entretien,2022,True,False,True,False,False
2022-09-07,09,10h00,Conseil des ministres.,Conseil des ministres,2022,True,False,False,False,False
2022-09-07,09,13h15,Déjeuner avec la Première ministre.,Déjeuner,2022,True,True,False,False,False
2022-09-07,09,20h00,Dîner avec les élus ultra-marins.,Dîner,2022,True,False,False,False,False
2022-09-08,09,Toute la journée,Lancement du Conseil national de la refondation (CNR) à Marcoussis.,Inauguration,2022,True,False,False,False,False
2022-09-08,09,20h00,"Dîner avec Mme Hélène CARRERE D’ENCAUSSE, secrétaire perpétuel de l’Académie française, M. Mario VARGAS LLOSA et M. Antoine COMPAGNON.",Dîner,2022,True,False,False,False,False
2022-09-09,09,10h00,"Entretien avec M. Boris RAVIGNON, maire de Charleville-Mézières",Entretien,2022,True,False,True,False,False
2022-09-09,09,Après-midi,"Déplacement en Beauce à l’occasion de la 8e édition de Terres de Jim, rassemblement annuel des Jeunes Agriculteurs.",Déplacement,2022,True,False,False,True,False
2022-09-10,09,11h00,"Entretien téléphonique avec M. Volodymyr ZELENSKY, Président de la République d'Ukraine.",Entretien,2022,True,False,True,False,False
2022-09-10,09,Après-midi,"Entretien téléphonique avec M. Ismaïl Omar Guelleh, Président de la République de Djibouti.",Entretien,2022,True,False,True,False,False
