name,count
JAN,1
OSMANI,1
LOONG,1
CHAN,1
CHU,1
GNASSINGBE,1
CPAM,1
BAERBOCK,1
ZAEV,1
MORRISON,1
BLANCHARD,1
RAVIGNON,1
ANATSUI,1
BLASCO,1
MIKATI,1
TGV,1
PINERA,1
FESNEAU,1
ROMAN,1
WARGON,1
JACKSON,1
SHARIF,1
BEAUDET,1
MARIN,1
JAKOBSDOTTIR,1
CSIS,1
III,1
MARCOS J,1
JP M,1
KURTI,1
BONGO ODIMBA P,1
TAYLOR,1
ETI,1
TAHA,1
ACPHFMI,1
JEANNENEY,1
NADAL,1
SZYDLO,1
COND,1
HENART,1
LAURENT,1
RENZI,1
PINEL,1
UNICEF,1
KALIFAT,1
DUPONT,1
TEMAL,1
ACCOYER,1
KAESER,1
PULVAR,1
SLIMANI,1
LOTTIN,1
CARENCO,1
POUYANN,1
LENAERTS,1
AMANO,1
SCHRAMEK,1
LEMOYNE,1
ESSEBSI,1
JOVENEL,1
CLAUDEL,1
SOHN,1
BELTRAME,1
TRONG,1
CNAM,1
ROBERT,1
HORVILLEUR,1
TIMMERMANS,1
GRIVEAUX,1
COUILLARD,1
GOMEZ,1
GIBBS,1
ANNAN,1
ZINK,1
SARKISSIAN,1
CHEVENEMENT,1
DERMOTT,1
SANDBERG,1
TODT,1
CENTENO,1
WAHL,1
BROGLIE,1
ADER,1
VIVES,1
VESTAGER,1
CTE,1
ABADI,1
RAJAONARIMAMPIANINA,1
VILLIERS,1
CAVAGN,1
ALEXANDRE,1
CARRERE,1
SCHWARZENEGGER,1
RAMEIX,1
TOYODA,1
RAJOY,1
IMMELT,1
RAIMONDI,1
BRECHET,1
FLESSEL,1
MORALES,1
KUCZYNSKI,1
MAHJOUBI,1
RASMUSSEN,1
GOULARD,1
BORISSOV,1
RICHERT,1
LEMAS,1
MAIRE,1
CALVAR,1
KOHL,1
TGV A,1
KIM,1
JEAN,1
BRICQ,1
SCHA,1
SIPIL,1
TAJANI,1
BOAO,1
PECHEUR,1
SAAD HARIRI,1
DELFRAISSY,1
BOKOVA,1
DANJEAN,1
RIHANNA,1
GIP P,1
HAMEL,1
CLAVER,1
AIDS S,1
BONO,1
SCHULZ,1
MARTI,1
LEUTHARD,1
TURNBULL,1
A NIETO,1
MOLINS,1
TOURAINE,1
MME F,1
REBELO,1
GRYBAUSKAITE,1
OIT,1
COURBET,1
DORSEY,1
GAUTIER,1
AFD,1
MARACINEANU,1
METUKTIRE,1
ROMETY,1
ABDALLAH II,1
ARDEN,1
PIERREPONT,1
ABSI,1
JUNCKER,1
SARRAJ,1
IPBES,1
MALPASS,1
AYRAULT,1
ABDEL,1
MUSHIKIWABO,1
DARCOS,1
POIRSON,1
MNUCHIN,1
SALEH,1
CHALUS,1
TOP,1
CAPUTOVA,1
CGT,1
RHC,1
VIMONT,1
BANERJEE,1
CHABANIER,1
CNRS,1
TSHISEKEDI,1
ORBAN,1
ROUX,1
SASSOLI,1
TEYSSEDRE,1
HAMDOK,1
MITSOT,1
HARIRI,1
RINNE,1
AFEP,1
CIOLOS,1
RONDEAU,1
SICILIANOS,1
ESCURE,1
CISSE,1
SASSOU N,1
SILVA,1
SIMEONI,1
CHAHED,1
OICA,1
ALIYEV,1
BERTRAND,1
ROTTNER,1
MIRO,1
HLP,1
CASSIN,1
ROUSSET,1
NARUHITO,1
BERSET,1
BARDOT,1
LANG,1
BABI,1
AHMED,1
PELLEGRINI,1
LOUVEL,1
BOULARD,1
RAHI,1
ROMETTY,1
JUGELE,1
WEBER,1
XXIII,1
LANZMANN,1
VERHOFSTADT,1
MURAD BASEE TAHA,1
MMES N,1
DELEVOYE,1
RABAULT,1
LEVY,1
MALHURET,1
ASSASSI,1
REQUIER,1
MARSEILLE,1
KANNER,1
PATRIAT,1
VIGIER,1
CHASSAIGNE,1
RETAILLEAU,1
MIGNOLA,1
AVENARD,1
LE GENDRE,1
SPIEGEL,1
CULP,1
DANGOTE,1
LEGAULT,1
BERBERIAN,1
CNTE,1
SAVOY,1
GUILLAUME,1
LGBT,1
AL JABER,1
